"app name","APK","occurrences"
"block craft 3d：building game","com.fungames.blockcraft","2720"
"walk king - race on stairs","com.walk.king.race.on.stairs","2707"
"jigsaw puzzles for adults hd","642831690","2697"
"find fun difference: spot it!","find.spot.fun.relax.difference","2694"
"tile connect - matching games","link.merge.puzzle.onnect.number","2683"
"rope hero: cheatground mod","com.naxeex.rope.hero.cheatground.mod","2669"
"ragdoll break: let's destroy!","com.kayac.breakragdoll","2630"
"woody block puzzle brain game","1212951043","2625"
"block crush: block puzzle game","com.block.blast.free.cube.puzzle.game","2620"
"gunclans: weapon run master","com.gunclans.shooter.run.hero.war.survival.game","2618"
"solitaire","solitaire.classicgame.klondike.solitaire.freecard","2609"
"pencil sort","onetap.game.pencil.sort","2599"
"bubble pop dream: bubble shoot","sonic.bubbleshoot.classic","2594"
"tile master 3d® - triple match","com.higgs.tilemaster3d","2589"
"zen word® - relax puzzle game","1660171117","2567"
"podcast player - castbox","fm.castbox.audiobook.radio.podcast","2562"
"family life","com.xia.familylife","2547"
"super city: building master","com.city.building.master","2547"
"words with friends word puzzle","com.zynga.words","2537"
"art master: jigsaw puzzle","art.master.puzzle","2536"
"words with friends 2 - word game","com.zynga.words3","2527"
"tile master pro: triple match","com.tile.town.puzzle.master.match","2515"
"klondike adventures: farm game","com.vizorapps.klondike","2504"
"easy words - word puzzle games","com.easybrain.word.puzzle.game","2494"
"words with friends classic","com.zynga.words","2492"
"draw to smash: logic puzzle","com.smashing.draw2","2491"
"poly match","games.spearmint.matchinggame","2471"
"fly corp: airline manager","1595860359","2468"
"differences - find difference","puzzle.game.find.differences","2464"
"wordfeud","com.hbwares.wordfeud.free","2462"
"differences - find & spot it","find.difference.spot.differences.hidden.puzzle.games.free","2461"
"pick me up 3d: taxi game","com.tp.pmu3d","2455"
"block puzzle - brain games","1466197423","2450"
"screw sort 3d","screw.sort.match.jam.puzzle","2442"
"botim - video and voice call","im.thebot.messenger","2439"
"hole and give","jp.co.goodroid.hyper.holeandgive","2435"
"color ball sort wooden puzzle","com.titan.ball.sort.woody.puzzle","2427"
"bright objects - hidden object","com.lemel.hiddengame","2424"
"super toy 3d","com.surprise.toy.d3","2418"
"trivia crack","com.etermax.preguntados.lite","2417"
"nut n bolt sort: color puzzle","com.nut.bolt.color.sort.puzzle","2414"
